beginpoint,endpoint,period,libsetup,checktype,required,arrival,slack,launchclk,captureclk,skew,fanout,netdelay,netcount,instcount,invdelay,bufdelay,combodelay,seqdelay,totaldelay,invcount,bufcount,combocount,seqcount,portcount,load,wirelength
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST0/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.019,2.433,-1.414,-0.155,-0.079,0.076,166,0.031,32,32,0.506,0.0,1.899,0.15,0.0,5,0,26,1,0,0.239,590.101
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST1/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.013,2.385,-1.372,-0.155,-0.078,0.077,161,0.031,30,30,0.384,0.0,1.973,0.15,0.0,4,0,25,1,0,0.235,589.9449999999999
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST11/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.016,2.445,-1.429,-0.155,-0.083,0.072,165,0.031,31,31,0.384,0.0,2.032,0.15,0.0,4,0,26,1,0,0.238,594.561
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST16/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.003,2.321,-1.318,-0.155,-0.087,0.068,160,0.031,30,30,0.506,0.0,1.7879999999999998,0.15,0.0,5,0,24,1,0,0.234,583.274
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST17/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.018,2.421,-1.403,-0.155,-0.078,0.077,166,0.031,32,32,0.556,0.0,1.836,0.15,0.0,6,0,25,1,0,0.239,592.976
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST19/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.01,2.435,-1.425,-0.155,-0.088,0.067,166,0.031,32,32,0.506,0.0,1.9,0.15,0.0,5,0,26,1,0,0.239,590.935
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST2/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.022,2.439,-1.416,-0.155,-0.076,0.079,166,0.031,32,32,0.565,0.0,1.846,0.15,0.0,6,0,25,1,0,0.24,598.17
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST20/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,0.985,2.441,-1.456,-0.155,-0.088,0.067,165,0.031,32,32,0.506,0.0,1.906,0.15,0.0,5,0,26,1,0,0.239,596.3019999999999
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST21/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.009,2.419,-1.411,-0.155,-0.089,0.066,166,0.031,32,32,0.556,0.0,1.835,0.15,0.0,6,0,25,1,0,0.239,592.198
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST23/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.01,2.436,-1.426,-0.155,-0.085,0.06999999999999999,166,0.031,32,32,0.506,0.0,1.902,0.15,0.0,5,0,26,1,0,0.239,591.583
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST26/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.015,2.428,-1.413,-0.155,-0.083,0.072,166,0.031,32,32,0.56,0.0,1.84,0.15,0.0,6,0,25,1,0,0.239,595.687
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST27/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.014,2.436,-1.422,-0.155,-0.083,0.072,166,0.031,32,32,0.506,0.0,1.902,0.15,0.0,5,0,26,1,0,0.239,591.721
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST29/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.015,2.419,-1.403,-0.155,-0.084,0.071,166,0.031,32,32,0.556,0.0,1.834,0.15,0.0,6,0,25,1,0,0.239,591.66
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST3/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.021,2.447,-1.427,-0.155,-0.076,0.079,165,0.031,31,31,0.384,0.0,2.034,0.15,0.0,4,0,26,1,0,0.238,596.515
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,RC_CG_HIER_INST30/RC_CGIC_INST/E,1.200,0.0,Clock Gating Setup Check,1.015,2.426,-1.411,-0.155,-0.084,0.071,166,0.031,32,32,0.56,0.0,1.838,0.15,0.0,6,0,25,1,0,0.239,594.851
