beginpoint,endpoint,predicted_route_slack
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST0/RC_CGIC_INST/E,-1.726365534841968
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST1/RC_CGIC_INST/E,-1.5633494396307168
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST11/RC_CGIC_INST/E,-1.6193924299004472
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST16/RC_CGIC_INST/E,-1.5230587891899527
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST17/RC_CGIC_INST/E,-1.613269888599001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST19/RC_CGIC_INST/E,-1.7024089248796987
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST2/RC_CGIC_INST/E,-1.5635638906784286
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST20/RC_CGIC_INST/E,-1.7673509278356447
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST21/RC_CGIC_INST/E,-1.7462124124324991
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST23/RC_CGIC_INST/E,-1.7876870355511802
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST26/RC_CGIC_INST/E,-1.6178271728571647
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST27/RC_CGIC_INST/E,-1.7028763497112425
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST29/RC_CGIC_INST/E,-1.6156032398089515
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST3/RC_CGIC_INST/E,-1.6270411659457382
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST30/RC_CGIC_INST/E,-1.622743038568637
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST31/RC_CGIC_INST/E,-1.7085938117822344
id_stage_i_controller_i_ctrl_fsm_cs_reg[3]/CP,RC_CG_HIER_INST33/RC_CGIC_INST/E,-1.4749170642162595
if_stage_i_instr_rdata_alu_id_o_reg[13]/CP,RC_CG_HIER_INST38/RC_CGIC_INST/E,-1.680293676495567
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST39/RC_CGIC_INST/E,-1.763671254206622
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST4/RC_CGIC_INST/E,-1.6403975060919702
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST40/RC_CGIC_INST/E,-1.7422996158119832
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST41/RC_CGIC_INST/E,-1.7610110452367453
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST42/RC_CGIC_INST/E,-1.7659685607979525
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST43/RC_CGIC_INST/E,-1.8321398512695972
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST44/RC_CGIC_INST/E,-1.621773796265694
if_stage_i_instr_rdata_alu_id_o_reg[13]/CP,RC_CG_HIER_INST45/RC_CGIC_INST/E,-2.2176530042993865
if_stage_i_instr_rdata_alu_id_o_reg[13]/CP,RC_CG_HIER_INST46/RC_CGIC_INST/E,-2.0605009665443093
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST47/RC_CGIC_INST/E,-1.7143426438201748
load_store_unit_i_ls_fsm_cs_reg[0]/CP,RC_CG_HIER_INST48/RC_CGIC_INST/E,0.3067046897838801
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST49/RC_CGIC_INST/E,-1.7114421723199302
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST5/RC_CGIC_INST/E,-1.5631061665358192
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST50/RC_CGIC_INST/E,-1.8862950613558191
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST52/RC_CGIC_INST/E,-1.8344322363648131
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST53/RC_CGIC_INST/E,-1.7216581294495463
if_stage_i_instr_rdata_id_o_reg[9]/CP,RC_CG_HIER_INST54/RC_CGIC_INST/E,-1.6188038715318607
load_store_unit_i_ls_fsm_cs_reg[0]/CP,RC_CG_HIER_INST55/RC_CGIC_INST/E,0.5329422278874043
if_stage_i_instr_rdata_alu_id_o_reg[13]/CP,RC_CG_HIER_INST56/RC_CGIC_INST/E,-2.228978201355616
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST57/RC_CGIC_INST/E,-1.9537096711730775
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST6/RC_CGIC_INST/E,-1.5646658905534552
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST7/RC_CGIC_INST/E,-1.6208063814932698
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST8/RC_CGIC_INST/E,-1.64349361193125
/rst_ni,core_busy_q_reg/CDN,6.764265139611831
if_stage_i_instr_rdata_alu_id_o_reg[13]/CP,core_busy_q_reg/D,-2.6027885907448316
cs_registers_i_u_mie_csr_rdata_q_reg[1]/CP,core_clock_gate_i_en_latch_reg/D,-1.5790058424684381
/rst_ni,cs_registers_i_mcountinhibit_q_reg[0]/CDN,6.825638179943287
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcountinhibit_q_reg[0]/D,-0.6488611165725815
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcountinhibit_q_reg[0]/SE,-2.05937222156054
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_mcountinhibit_q_reg[0]/SI,-2.570720861758178
/rst_ni,cs_registers_i_mcountinhibit_q_reg[2]/CDN,6.825638179943287
cs_registers_i_mcountinhibit_q_reg[2]/CP,cs_registers_i_mcountinhibit_q_reg[2]/D,-0.9029872838696984
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcountinhibit_q_reg[2]/SE,-2.05937222156054
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcountinhibit_q_reg[2]/SI,-1.9225403036484088
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[0]/CDN,6.804228979827663
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[0]/D,-2.5664390217350532
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[0]/SE,-1.9061844465181816
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[0]/SI,-0.8086067082185608
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[10]/CDN,6.805656259835372
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[10]/D,-1.9248783381108985
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[10]/SE,-1.9145178389296968
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[10]/SI,-1.854101004951699
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[11]/CDN,6.805656259835372
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[11]/D,-1.9223343555646326
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[11]/SE,-1.9094453392009485
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[11]/SI,-1.897714405950007
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[12]/CDN,6.805656259835372
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[12]/D,-1.869442122374108
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[12]/SE,-1.9145178389296968
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[12]/SI,-1.790533924308448
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[13]/CDN,6.805656259835372
if_stage_i_instr_rdata_alu_id_o_reg[3]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[13]/D,-2.647985231152943
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[13]/SE,-1.9145178389296968
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[13]/SI,-1.838154595923061
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[14]/CDN,6.805656259835372
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[14]/D,-1.9234158472577287
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[14]/SE,-1.9145178389296968
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[14]/SI,-1.8617726186028274
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[15]/CDN,6.801374419812246
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[15]/D,-2.017987595352125
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[16]/CDN,6.804228979827663
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[16]/D,-1.9519131783400492
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[16]/SE,-1.9177787316124628
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[16]/SI,-1.9004247395124456
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[17]/CDN,6.804228979827663
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[17]/D,-2.1021495025363888
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[18]/CDN,6.805656259835372
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[18]/D,-2.0267307674928543
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[18]/SE,-1.9181410530216598
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[18]/SI,-2.043034956583259
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[19]/CDN,6.802801699819955
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[19]/D,-2.1130898074134206
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[1]/CDN,6.804228979827663
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[1]/D,-2.075662237324511
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[20]/CDN,6.804228979827663
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[20]/D,-2.1124028717704486
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[21]/CDN,6.804228979827663
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[21]/D,-2.353533048867549
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[22]/CDN,6.802801699819955
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[22]/D,-1.9122751537826308
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[22]/SE,-1.9198866431804098
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[22]/SI,-2.0746423572486408
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[23]/CDN,6.802801699819955
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[23]/D,-2.120268750094494
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[24]/CDN,6.802801699819955
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[24]/D,-1.856023628840592
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[24]/SE,-1.920973607407999
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[24]/SI,-2.015016316706142
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[25]/CDN,6.802801699819955
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[25]/D,-2.1168378744121505
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[26]/CDN,6.802801699819955
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[26]/D,-1.9586502719398653
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[26]/SE,-1.920973607407999
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[26]/SI,-2.131745608513967
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[27]/CDN,6.802801699819955
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[27]/D,-2.1333534539752095
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[28]/CDN,6.802801699819955
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[28]/D,-1.8847247675334722
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[28]/SE,-1.9202489645896068
cs_registers_i_mcountinhibit_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[28]/SI,-2.1014895392390778
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[29]/CDN,6.802801699819955
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[29]/D,-2.1312875510990854
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[2]/CDN,6.804228979827663
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[2]/D,-1.9193234222237963
if_stage_i_instr_rdata_id_o_reg[24]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[2]/SE,-1.907974047935086
cs_registers_i_mcycle_counter_i_counter_q_reg[0]/CP,cs_registers_i_mcycle_counter_i_counter_q_reg[2]/SI,-1.7512803879602639
/rst_ni,cs_registers_i_mcycle_counter_i_counter_q_reg[30]/CDN,6.805656259835372
