beginpoint,endpoint,period,libsetup,checktype,required,arrival,slack,launchclk,captureclk,skew,fanout,netdelay,netcount,instcount,invdelay,bufdelay,combodelay,seqdelay,totaldelay,invcount,bufcount,combocount,seqcount,portcount,load,wirelength
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST15/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.344,3.233,-1.889,0.295,0.256,-0.03899999999999998,158,0.058,31,31,0.0,0.0,2.698,0.181,0.0,0,0,30,1,0,0.3090000000000001,1061.5790000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST15/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.348,3.233,-1.885,0.295,0.258,-0.03699999999999998,158,0.058,31,31,0.0,0.0,2.698,0.181,0.0,0,0,30,1,0,0.3090000000000001,1061.5790000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST12/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.349,3.220,-1.872,0.295,0.259,-0.035999999999999976,158,0.057,32,32,0.137,0.0,2.549,0.181,0.0,1,0,30,1,0,0.3090000000000001,1045.0940000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST14/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.345,3.208,-1.863,0.295,0.256,-0.03899999999999998,159,0.058,32,32,0.197,0.0,2.476,0.181,0.0,2,0,29,1,0,0.3100000000000001,1053.1820000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST24/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.365,3.228,-1.863,0.295,0.286,-0.009000000000000008,158,0.057,32,32,0.137,0.0,2.5570000000000004,0.181,0.0,1,0,30,1,0,0.3100000000000001,1053.0810000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST14/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.345,3.208,-1.862,0.295,0.259,-0.035999999999999976,159,0.057,32,32,0.197,0.0,2.476,0.181,0.0,2,0,29,1,0,0.3100000000000001,1053.1820000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST24/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.366,3.228,-1.861,0.295,0.29,-0.0050000000000000044,158,0.057,32,32,0.137,0.0,2.5570000000000004,0.181,0.0,1,0,30,1,0,0.3100000000000001,1053.0810000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST25/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.376,3.220,-1.844,0.295,0.286,-0.009000000000000008,159,0.057,32,32,0.2,0.0,2.486,0.181,0.0,2,0,29,1,0,0.3100000000000001,1054.3310000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST25/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.377,3.221,-1.844,0.295,0.29,-0.0050000000000000044,159,0.058,32,32,0.2,0.0,2.486,0.181,0.0,2,0,29,1,0,0.3100000000000001,1054.3310000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST10/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.354,3.194,-1.840,0.295,0.259,-0.035999999999999976,159,0.058,32,32,0.197,0.0,2.462,0.181,0.0,2,0,29,1,0,0.3090000000000001,1043.631
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST24/RC_CGIC_INST_clone_1/E,1.200,0,Clock Gating Setup Check,1.389,3.229,-1.840,0.295,0.323,0.028000000000000025,158,0.058,32,32,0.137,0.0,2.5570000000000004,0.181,0.0,1,0,30,1,0,0.3100000000000001,1053.0810000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST10/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.356,3.195,-1.839,0.295,0.258,-0.03699999999999998,159,0.058,32,32,0.197,0.0,2.462,0.181,0.0,2,0,29,1,0,0.3090000000000001,1043.631
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST0/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.386,3.224,-1.838,0.295,0.286,-0.009000000000000008,158,0.057,32,32,0.137,0.0,2.553,0.181,0.0,1,0,30,1,0,0.3080000000000001,1037.0320000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST0/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.388,3.225,-1.837,0.295,0.291,-0.0040000000000000036,158,0.058,32,32,0.137,0.0,2.553,0.181,0.0,1,0,30,1,0,0.3080000000000001,1037.0320000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST18/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.374,3.208,-1.834,0.295,0.291,-0.0040000000000000036,159,0.058,32,32,0.192,0.0,2.4810000000000003,0.181,0.0,2,0,29,1,0,0.3100000000000001,1055.6270000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST18/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.373,3.207,-1.833,0.295,0.288,-0.007000000000000006,159,0.057,32,32,0.192,0.0,2.4810000000000003,0.181,0.0,2,0,29,1,0,0.3100000000000001,1055.6270000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST7/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.305,3.129,-1.824,0.295,0.256,-0.03899999999999998,156,0.059,31,31,0.0,0.0,2.5930000000000004,0.181,0.0,0,0,30,1,0,0.3020000000000001,1026.1910000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST11/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.306,3.130,-1.824,0.295,0.256,-0.03899999999999998,156,0.058,31,31,0.0,0.0,2.595,0.181,0.0,0,0,30,1,0,0.3020000000000001,1027.9540000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST7/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.306,3.129,-1.824,0.295,0.256,-0.03899999999999998,156,0.059,31,31,0.0,0.0,2.5930000000000004,0.181,0.0,0,0,30,1,0,0.3020000000000001,1026.1910000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST11/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.308,3.130,-1.822,0.295,0.258,-0.03699999999999998,156,0.058,31,31,0.0,0.0,2.595,0.181,0.0,0,0,30,1,0,0.3020000000000001,1027.9540000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST3/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.308,3.128,-1.821,0.295,0.257,-0.03799999999999998,156,0.058,31,31,0.0,0.0,2.5930000000000004,0.181,0.0,0,0,30,1,0,0.3010000000000001,1024.8540000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST25/RC_CGIC_INST_clone_1/E,1.200,0,Clock Gating Setup Check,1.402,3.222,-1.820,0.295,0.324,0.029000000000000026,159,0.059,32,32,0.2,0.0,2.486,0.181,0.0,2,0,29,1,0,0.3100000000000001,1054.3310000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST3/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.309,3.128,-1.819,0.295,0.259,-0.035999999999999976,156,0.058,31,31,0.0,0.0,2.5930000000000004,0.181,0.0,0,0,30,1,0,0.3010000000000001,1024.8540000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST24/RC_CGIC_INST_clone_1_clone/E,1.200,0,Clock Gating Setup Check,1.410,3.229,-1.819,0.295,0.326,0.031000000000000028,158,0.058,32,32,0.137,0.0,2.5570000000000004,0.181,0.0,1,0,30,1,0,0.3100000000000001,1053.0810000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST9/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.344,3.162,-1.818,0.295,0.259,-0.035999999999999976,154,0.058,30,30,0.0,0.0,2.628,0.181,0.0,0,0,29,1,0,0.3040000000000001,1045.684
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST9/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.346,3.162,-1.817,0.295,0.257,-0.03799999999999998,154,0.058,30,30,0.0,0.0,2.628,0.181,0.0,0,0,29,1,0,0.3040000000000001,1045.684
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST12/RC_CGIC_INST_clone_1_clone/E,1.200,0,Clock Gating Setup Check,1.407,3.220,-1.813,0.295,0.353,0.057999999999999996,158,0.057,32,32,0.137,0.0,2.549,0.181,0.0,1,0,30,1,0,0.3090000000000001,1045.0940000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST12/RC_CGIC_INST_clone_1/E,1.200,0,Clock Gating Setup Check,1.407,3.220,-1.813,0.295,0.353,0.057999999999999996,158,0.057,32,32,0.137,0.0,2.549,0.181,0.0,1,0,30,1,0,0.3090000000000001,1045.0940000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST4/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.372,3.178,-1.806,0.295,0.256,-0.03899999999999998,156,0.058,32,32,0.137,0.0,2.505,0.181,0.0,1,0,30,1,0,0.3040000000000001,1028.2960000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST4/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.372,3.178,-1.806,0.295,0.254,-0.04099999999999998,156,0.058,32,32,0.137,0.0,2.505,0.181,0.0,1,0,30,1,0,0.3040000000000001,1028.2960000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST13/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.288,3.092,-1.805,0.295,0.258,-0.03699999999999998,154,0.059,30,30,0.0,0.0,2.5570000000000004,0.181,0.0,0,0,29,1,0,0.3020000000000001,1034.9850000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST13/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.349,3.153,-1.804,0.295,0.258,-0.03699999999999998,154,0.058,30,30,0.0,0.0,2.619,0.181,0.0,0,0,29,1,0,0.3030000000000001,1040.307
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST15/RC_CGIC_INST_clone_1_clone/E,1.200,0,Clock Gating Setup Check,1.430,3.233,-1.804,0.295,0.354,0.059,158,0.058,31,31,0.0,0.0,2.698,0.181,0.0,0,0,30,1,0,0.3090000000000001,1061.5790000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST25/RC_CGIC_INST_clone_1_clone/E,1.200,0,Clock Gating Setup Check,1.419,3.222,-1.803,0.295,0.325,0.030000000000000027,159,0.059,32,32,0.2,0.0,2.486,0.181,0.0,2,0,29,1,0,0.3100000000000001,1054.3310000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST36/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.356,3.159,-1.803,0.295,0.283,-0.01200000000000001,139,0.051,35,35,0.0,0.0,2.6280000000000006,0.181,0.0,0,0,34,1,0,0.2760000000000001,913.4290000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST15/RC_CGIC_INST_clone_1/E,1.200,0,Clock Gating Setup Check,1.431,3.233,-1.802,0.295,0.355,0.06,158,0.058,31,31,0.0,0.0,2.698,0.181,0.0,0,0,30,1,0,0.3090000000000001,1061.5790000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST34/RC_CGIC_INST_clone_1/E,1.200,0,Clock Gating Setup Check,1.360,3.159,-1.800,0.295,0.283,-0.01200000000000001,141,0.052,36,36,0.0,0.0,2.6289999999999996,0.181,0.0,0,0,35,1,0,0.2780000000000001,915.8990000000001
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST8/RC_CGIC_INST_clone/E,1.200,0,Clock Gating Setup Check,1.376,3.172,-1.796,0.295,0.254,-0.04099999999999998,156,0.057,32,32,0.137,0.0,2.5,0.181,0.0,1,0,30,1,0,0.3030000000000001,1025.0580000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST8/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.377,3.172,-1.794,0.295,0.258,-0.03699999999999998,156,0.057,32,32,0.137,0.0,2.5,0.181,0.0,1,0,30,1,0,0.3030000000000001,1025.0580000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST12/RC_CGIC_INST_clone_clone/E,1.200,0,Clock Gating Setup Check,1.426,3.221,-1.794,0.295,0.38,0.08500000000000002,158,0.057,32,32,0.137,0.0,2.549,0.181,0.0,1,0,30,1,0,0.3090000000000001,1045.0940000000003
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST31/RC_CGIC_INST/E,1.200,0,Clock Gating Setup Check,1.300,3.094,-1.794,0.295,0.224,-0.07099999999999998,134,0.051,34,34,0.096,0.0,2.4679999999999995,0.181,0.0,1,0,32,1,0,0.2740000000000001,919.532
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST18/RC_CGIC_INST_clone_1_clone/E,1.200,0,Clock Gating Setup Check,1.415,3.208,-1.793,0.295,0.325,0.030000000000000027,159,0.059,32,32,0.192,0.0,2.4810000000000003,0.181,0.0,2,0,29,1,0,0.3100000000000001,1055.6270000000002
if_stage_i_instr_rdata_id_o_reg[24]/CP,RC_CG_HIER_INST18/RC_CGIC_INST_clone_1/E,1.200,0,Clock Gating Setup Check,1.416,3.208,-1.793,0.295,0.326,0.031000000000000028,159,0.059,32,32,0.192,0.0,2.4810000000000003,0.181,0.0,2,0,29,1,0,0.3100000000000001,1055.6270000000002
